"species","species_id","phenophase_id","common_name","phenophase_description","intensity_value","site_name","elevation_in_meters","elev_bands","tmin_winter","tmin_spring","tmax_winter","tmax_spring","daylength","individual_id","year","day_of_year"
"grandifolia",79,483,"American beech","Leaves","95% or more","GRSM-Tremont-Dorsey Branch",423,"<800m",-3.91,7.72,7.06,20.74,47693,33184,2011,115
"rubrum",3,483,"red maple","Leaves","95% or more","GRSM-Tremont-Dorsey Branch",423,"<800m",-3.91,7.72,7.06,20.74,47693,33185,2011,115
"flava",1172,483,"yellow buckeye","Leaves","95% or more","GRSM-Tremont-Dorsey Branch",423,"<800m",-3.91,7.72,7.06,20.74,47693,75737,2011,115
"flava",1172,483,"yellow buckeye","Leaves","95% or more","GRSM-Tremont-Dorsey Branch",423,"<800m",-3.91,7.72,7.06,20.74,47693,75738,2011,115
"flava",1172,483,"yellow buckeye","Leaves","95% or more","GRSM-Tremont-Dorsey Branch",423,"<800m",-3.91,7.72,7.06,20.74,47693,75833,2011,115
"flava",1172,483,"yellow buckeye","Leaves","95% or more","GRSM-Tremont-Dorsey Branch",423,"<800m",-3.91,7.72,7.06,20.74,47693,75834,2011,115
"rubrum",3,483,"red maple","Leaves","95% or more","GRSM-Tremont-Lumber Ridge",512,"<800m",-3.78,7.8,7.29,21.01,48384,33136,2011,119
"rubrum",3,483,"red maple","Leaves","95% or more","GRSM-Tremont-Lumber Ridge",512,"<800m",-3.78,7.8,7.29,21.01,48384,33138,2011,119
"rubrum",3,483,"red maple","Leaves","95% or more","GRSM-Tremont-Lumber Ridge",512,"<800m",-3.78,7.8,7.29,21.01,48384,33141,2011,119
"rubrum",3,483,"red maple","Leaves","95% or more","GRSM-Tremont-Lumber Ridge",512,"<800m",-3.78,7.8,7.29,21.01,48384,33142,2011,119
"rubrum",3,483,"red maple","Leaves","95% or more","GRSM-Tremont-Lumber Ridge",512,"<800m",-3.78,7.8,7.29,21.01,48384,33145,2011,119
"rubrum",3,483,"red maple","Leaves","95% or more","GRSM-Tremont-Lumber Ridge",512,"<800m",-3.78,7.8,7.29,21.01,48384,33146,2011,119
"rubrum",3,483,"red maple","Leaves","95% or more","GRSM-Tremont-Lumber Ridge",512,"<800m",-3.78,7.8,7.29,21.01,48384,33148,2011,119
"rubrum",3,483,"red maple","Leaves","95% or more","GRSM-Tremont-Lumber Ridge",512,"<800m",-3.78,7.8,7.29,21.01,48384,33151,2011,119
"rubrum",3,483,"red maple","Leaves","95% or more","GRSM-Tremont-Lumber Ridge",512,"<800m",-3.78,7.8,7.29,21.01,48384,33153,2011,119
"rubrum",3,483,"red maple","Leaves","95% or more","GRSM-Tremont-Lumber Ridge",512,"<800m",-3.78,7.8,7.29,21.01,48384,33156,2011,119
"rubrum",3,483,"red maple","Leaves","95% or more","GRSM-Tremont-Lumber Ridge",512,"<800m",-3.78,7.8,7.29,21.01,48384,33157,2011,119
"rubrum",3,483,"red maple","Leaves","95% or more","GRSM-Tremont-Lumber Ridge",512,"<800m",-3.78,7.8,7.29,21.01,48384,33158,2011,119
"saccharum",61,483,"sugar maple","Leaves","95% or more","GRSM-Tremont-Falls Trail",444,"<800m",-3.78,7.8,7.29,21.01,48384,33197,2011,121
"flava",1172,483,"yellow buckeye","Leaves","95% or more","GRSM-Tremont-Cemetery",435,"<800m",-3.78,7.8,7.29,21.01,49075,75741,2011,125
"rubrum",3,483,"red maple","Leaves","95% or more","GRSM-Tremont-Marcs Trail",510,"<800m",-3.78,7.8,7.29,21.01,49075,33124,2011,125
"rubrum",3,483,"red maple","Leaves","95% or more","GRSM-Tremont-Marcs Trail",510,"<800m",-3.78,7.8,7.29,21.01,49075,33131,2011,125
"rubrum",3,483,"red maple","Leaves","95% or more","GRSM-Tremont-Marcs Trail",510,"<800m",-3.78,7.8,7.29,21.01,49075,33134,2011,125
"caroliniana",823,483,"American hornbeam","Leaves","95% or more","GRSM-Tremont-Nature Trail ",405,"<800m",-3.78,7.8,7.29,21.01,49075,33105,2011,125
"caroliniana",823,483,"American hornbeam","Leaves","95% or more","GRSM-Tremont-Nature Trail ",405,"<800m",-3.78,7.8,7.29,21.01,49075,33107,2011,125
"alba",100,483,"white oak","Leaves","95% or more","GRSM-Tremont-Nature Trail ",405,"<800m",-3.78,7.8,7.29,21.01,49075,33112,2011,125
"tulipifera",82,483,"tuliptree","Leaves","95% or more","GRSM-Tremont-Nature Trail ",405,"<800m",-3.78,7.8,7.29,21.01,49075,33117,2011,125
"saccharum",61,483,"sugar maple","Leaves","95% or more","GRSM-Tremont-Falls Trail",444,"<800m",-3.78,7.8,7.29,21.01,49421,33192,2011,128
"alba",100,483,"white oak","Leaves","95% or more","GRSM-Tremont-Lumber Ridge",512,"<800m",-3.78,7.8,7.29,21.01,49421,33160,2011,129
"flava",1172,483,"yellow buckeye","Leaves","95% or more","GRSM-PKnob Upper Plot",1505,">1300m",-7.66,3.92,3.25,15.37,49421,42716,2011,129
"flava",1172,483,"yellow buckeye","Leaves","95% or more","GRSM-PKnob Upper Plot",1505,">1300m",-7.66,3.92,3.25,15.37,49421,42718,2011,129
"flava",1172,483,"yellow buckeye","Leaves","95% or more","GRSM-PKnob Upper Plot",1505,">1300m",-7.66,3.92,3.25,15.37,49421,42722,2011,129
"flava",1172,483,"yellow buckeye","Leaves","95% or more","GRSM-PKnob Upper Plot",1505,">1300m",-7.66,3.92,3.25,15.37,49421,42723,2011,129
"flava",1172,483,"yellow buckeye","Leaves","95% or more","GRSM-PKnob Upper Plot",1505,">1300m",-7.66,3.92,3.25,15.37,49421,42725,2011,129
"flava",1172,483,"yellow buckeye","Leaves","95% or more","GRSM-PKnob Upper Plot",1505,">1300m",-7.66,3.92,3.25,15.37,49421,42726,2011,129
"flava",1172,483,"yellow buckeye","Leaves","95% or more","GRSM-PKnob Upper Plot",1505,">1300m",-7.66,3.92,3.25,15.37,49421,42727,2011,129
"flava",1172,483,"yellow buckeye","Leaves","95% or more","GRSM-PKnob Upper Plot",1505,">1300m",-7.66,3.92,3.25,15.37,49421,42728,2011,129
"rubrum",3,483,"red maple","Leaves","95% or more","GRSM-PKnob Upper Plot",1505,">1300m",-7.66,3.92,3.25,15.37,49766,23068,2011,132
"flava",1172,483,"yellow buckeye","Leaves","95% or more","GRSM-PKnob Upper Plot",1505,">1300m",-7.66,3.92,3.25,15.37,49766,42719,2011,132
"flava",1172,483,"yellow buckeye","Leaves","95% or more","GRSM-PKnob Upper Plot",1505,">1300m",-7.66,3.92,3.25,15.37,49766,42724,2011,132
"tulipifera",82,483,"tuliptree","Leaves","95% or more","GRSM-Tremont-Dorsey Branch",423,"<800m",-3.91,7.72,7.06,20.74,50112,33175,2011,135
"saccharum",61,483,"sugar maple","Leaves","95% or more","GRSM-Tremont-West Prong",594,"<800m",-3.89,7.71,7.12,20.83,50112,33255,2011,135
"flava",1172,483,"yellow buckeye","Leaves","95% or more","GRSM-PKnob Upper Plot",1505,">1300m",-7.66,3.92,3.25,15.37,50112,23066,2011,136
"rubrum",3,483,"red maple","Leaves","95% or more","GRSM-Tremont-Lagoons",398,"<800m",-3.78,7.8,7.29,21.01,50458,33214,2011,140
"caroliniana",823,483,"American hornbeam","Leaves","95% or more","GRSM-Tremont-Lagoons",398,"<800m",-3.78,7.8,7.29,21.01,50458,33215,2011,140
"lenta",98,483,"sweet birch","Leaves","95% or more","GRSM-Tremont-Lagoons",398,"<800m",-3.78,7.8,7.29,21.01,50458,33217,2011,140
"caroliniana",823,483,"American hornbeam","Leaves","95% or more","GRSM-Tremont-Lagoons",398,"<800m",-3.78,7.8,7.29,21.01,50458,33218,2011,140
"caroliniana",823,483,"American hornbeam","Leaves","95% or more","GRSM-Tremont-Lagoons",398,"<800m",-3.78,7.8,7.29,21.01,50458,33219,2011,140
"caroliniana",823,483,"American hornbeam","Leaves","95% or more","GRSM-Tremont-Lagoons",398,"<800m",-3.78,7.8,7.29,21.01,50458,33224,2011,140
"caroliniana",823,483,"American hornbeam","Leaves","95% or more","GRSM-Tremont-Lagoons",398,"<800m",-3.78,7.8,7.29,21.01,50458,33226,2011,140
"caroliniana",823,483,"American hornbeam","Leaves","95% or more","GRSM-Tremont-Lagoons",398,"<800m",-3.78,7.8,7.29,21.01,50458,33229,2011,140
"tulipifera",82,483,"tuliptree","Leaves","95% or more","GRSM-Tremont-Lagoons",398,"<800m",-3.78,7.8,7.29,21.01,50458,33230,2011,140
"caroliniana",823,483,"American hornbeam","Leaves","95% or more","GRSM-Tremont-Lagoons",398,"<800m",-3.78,7.8,7.29,21.01,50458,33232,2011,140
"caroliniana",823,483,"American hornbeam","Leaves","95% or more","GRSM-Tremont-Lagoons",398,"<800m",-3.78,7.8,7.29,21.01,50458,33235,2011,140
"caroliniana",823,483,"American hornbeam","Leaves","95% or more","GRSM-Tremont-Lagoons",398,"<800m",-3.78,7.8,7.29,21.01,50458,33239,2011,140
"caroliniana",823,483,"American hornbeam","Leaves","95% or more","GRSM-Tremont-Lagoons",398,"<800m",-3.78,7.8,7.29,21.01,50458,33241,2011,140
"rubrum",3,483,"red maple","Leaves","95% or more","GRSM-Tremont-Lagoons",398,"<800m",-3.78,7.8,7.29,21.01,50458,33243,2011,140
"arboreum",1187,483,"sourwood","Leaves","95% or more","GRSM-Tremont-Lagoons",398,"<800m",-3.78,7.8,7.29,21.01,50458,75836,2011,140
"caroliniana",823,483,"American hornbeam","Leaves","95% or more","GRSM-Tremont-Nature Trail ",405,"<800m",-3.78,7.8,7.29,21.01,50458,29315,2011,141
"caroliniana",823,483,"American hornbeam","Leaves","95% or more","GRSM-Tremont-Nature Trail ",405,"<800m",-3.78,7.8,7.29,21.01,50458,33104,2011,141
"caroliniana",823,483,"American hornbeam","Leaves","95% or more","GRSM-Tremont-Nature Trail ",405,"<800m",-3.78,7.8,7.29,21.01,50458,33108,2011,141
"caroliniana",823,483,"American hornbeam","Leaves","95% or more","GRSM-Tremont-Nature Trail ",405,"<800m",-3.78,7.8,7.29,21.01,50458,33110,2011,141
"tulipifera",82,483,"tuliptree","Leaves","95% or more","GRSM-Tremont-Nature Trail ",405,"<800m",-3.78,7.8,7.29,21.01,50458,33116,2011,141
"arboreum",1187,483,"sourwood","Leaves","95% or more","GRSM-Tremont-Nature Trail ",405,"<800m",-3.78,7.8,7.29,21.01,50458,75418,2011,141
"arboreum",1187,483,"sourwood","Leaves","95% or more","GRSM-Tremont-Nature Trail ",405,"<800m",-3.78,7.8,7.29,21.01,50458,107337,2011,141
"tulipifera",82,483,"tuliptree","Leaves","95% or more","GRSM-Tremont-Cemetery",435,"<800m",-3.78,7.8,7.29,21.01,50458,33205,2011,141
"rubrum",3,483,"red maple","Leaves","95% or more","GRSM-Tremont-Cemetery",435,"<800m",-3.78,7.8,7.29,21.01,50458,33206,2011,141
"saccharum",61,483,"sugar maple","Leaves","95% or more","GRSM-Tremont-Cemetery",435,"<800m",-3.78,7.8,7.29,21.01,50458,33208,2011,141
"lenta",98,483,"sweet birch","Leaves","95% or more","GRSM-Tremont-Cemetery",435,"<800m",-3.78,7.8,7.29,21.01,50458,33209,2011,141
"tulipifera",82,483,"tuliptree","Leaves","95% or more","GRSM-Tremont-Cemetery",435,"<800m",-3.78,7.8,7.29,21.01,50458,33211,2011,141
"saccharum",61,483,"sugar maple","Leaves","95% or more","GRSM-Tremont-Cemetery",435,"<800m",-3.78,7.8,7.29,21.01,50458,33212,2011,141
"rubrum",3,483,"red maple","Leaves","95% or more","GRSM-PKnob Upper Plot",1505,">1300m",-7.66,3.92,3.25,15.37,50803,23058,2011,143
"rubrum",3,483,"red maple","Leaves","95% or more","GRSM-Tremont-Marcs Trail",510,"<800m",-3.78,7.8,7.29,21.01,51149,33135,2011,152
"arboreum",1187,483,"sourwood","Leaves","95% or more","GRSM-Tremont-Marcs Trail",510,"<800m",-3.78,7.8,7.29,21.01,51149,75839,2011,152
"saccharum",61,483,"sugar maple","Leaves","95% or more","GRSM-Tremont-Cemetery",435,"<800m",-3.78,7.8,7.29,21.01,51149,33200,2011,152
"caroliniana",823,483,"American hornbeam","Leaves","95% or more","GRSM-Tremont-Nature Trail ",405,"<800m",-3.78,7.8,7.29,21.01,51840,32900,2011,160
"caroliniana",823,483,"American hornbeam","Leaves","95% or more","GRSM-Tremont-Nature Trail ",405,"<800m",-3.78,7.8,7.29,21.01,51840,32901,2011,160
"caroliniana",823,483,"American hornbeam","Leaves","95% or more","GRSM-Tremont-Nature Trail ",405,"<800m",-3.78,7.8,7.29,21.01,51840,32930,2011,160
"rubrum",3,483,"red maple","Leaves","95% or more","GRSM-Tremont-Lumber Ridge",512,"<800m",-3.78,7.8,7.29,21.01,51840,33139,2011,165
"rubrum",3,483,"red maple","Leaves","95% or more","GRSM-Tremont-Lumber Ridge",512,"<800m",-3.78,7.8,7.29,21.01,51840,33140,2011,165
"arboreum",1187,483,"sourwood","Leaves","95% or more","GRSM-Tremont-Lumber Ridge",512,"<800m",-3.78,7.8,7.29,21.01,51840,75569,2011,165
"arboreum",1187,483,"sourwood","Leaves","95% or more","GRSM-Tremont-Lumber Ridge",512,"<800m",-3.78,7.8,7.29,21.01,51840,75572,2011,165
"caroliniana",823,483,"American hornbeam","Leaves","95% or more","GRSM-Tremont-Dorsey Branch",423,"<800m",-3.91,7.72,7.06,20.74,51840,33172,2011,166
"flava",1172,483,"yellow buckeye","Leaves","95% or more","GRSM-Tremont-Cemetery",435,"<800m",-3.78,7.8,7.29,21.01,51840,75742,2011,166
"tulipifera",82,483,"tuliptree","Leaves","95% or more","GRSM-Tremont-West Prong",594,"<800m",-3.89,7.71,7.12,20.83,51840,33253,2011,166
"tulipifera",82,483,"tuliptree","Leaves","95% or more","GRSM-Tremont-West Prong",594,"<800m",-3.89,7.71,7.12,20.83,51840,33256,2011,166
"lenta",98,483,"sweet birch","Leaves","95% or more","GRSM-Tremont-West Prong",594,"<800m",-3.89,7.71,7.12,20.83,51840,33257,2011,166
"tulipifera",82,483,"tuliptree","Leaves","95% or more","GRSM-Tremont-West Prong",594,"<800m",-3.89,7.71,7.12,20.83,51840,33264,2011,166
"rubrum",3,483,"red maple","Leaves","95% or more","GRSM-Tremont-Falls Trail",444,"<800m",-3.78,7.8,7.29,21.01,44928,33191,2011,251
"saccharum",61,483,"sugar maple","Leaves","95% or more","GRSM-Tremont-Falls Trail",444,"<800m",-3.78,7.8,7.29,21.01,44928,33193,2011,251
"saccharum",61,483,"sugar maple","Leaves","95% or more","GRSM-Tremont-Falls Trail",444,"<800m",-3.78,7.8,7.29,21.01,44928,33195,2011,251
"arboreum",1187,483,"sourwood","Leaves","95% or more","GRSM-Tremont-Lumber Ridge",512,"<800m",-3.78,7.8,7.29,21.01,43546,75570,2011,262
"arboreum",1187,483,"sourwood","Leaves","95% or more","GRSM-Tremont-Lumber Ridge",512,"<800m",-3.78,7.8,7.29,21.01,43546,75571,2011,262
"caroliniana",823,483,"American hornbeam","Leaves","95% or more","GRSM-Tremont-West Prong",594,"<800m",-3.89,7.71,7.12,20.83,43546,33266,2011,262
"rubrum",3,483,"red maple","Leaves","95% or more","GRSM-PKnob Upper Plot",1505,">1300m",-3.14,5.89,7.9,17.17,48384,23058,2012,121
"flava",1172,483,"yellow buckeye","Leaves","95% or more","GRSM-PKnob Upper Plot",1505,">1300m",-3.14,5.89,7.9,17.17,48384,23066,2012,121
"rubrum",3,483,"red maple","Leaves","95% or more","GRSM-PKnob Upper Plot",1505,">1300m",-3.14,5.89,7.9,17.17,48038,23068,2012,118
"flava",1172,483,"yellow buckeye","Leaves","95% or more","GRSM-PKnob Upper Plot",1505,">1300m",-3.14,5.89,7.9,17.17,50803,42716,2012,146
"flava",1172,483,"yellow buckeye","Leaves","95% or more","GRSM-PKnob Upper Plot",1505,">1300m",-3.14,5.89,7.9,17.17,51840,42718,2012,163
"flava",1172,483,"yellow buckeye","Leaves","95% or more","GRSM-PKnob Upper Plot",1505,">1300m",-3.14,5.89,7.9,17.17,51840,42719,2012,163
"flava",1172,483,"yellow buckeye","Leaves","95% or more","GRSM-PKnob Upper Plot",1505,">1300m",-3.14,5.89,7.9,17.17,51840,42722,2012,163
"flava",1172,483,"yellow buckeye","Leaves","95% or more","GRSM-PKnob Upper Plot",1505,">1300m",-3.14,5.89,7.9,17.17,51840,42723,2012,163
"flava",1172,483,"yellow buckeye","Leaves","95% or more","GRSM-PKnob Upper Plot",1505,">1300m",-3.14,5.89,7.9,17.17,50803,42724,2012,146
"flava",1172,483,"yellow buckeye","Leaves","95% or more","GRSM-PKnob Upper Plot",1505,">1300m",-3.14,5.89,7.9,17.17,50803,42725,2012,146
"flava",1172,483,"yellow buckeye","Leaves","95% or more","GRSM-PKnob Upper Plot",1505,">1300m",-3.14,5.89,7.9,17.17,51840,42726,2012,163
"flava",1172,483,"yellow buckeye","Leaves","95% or more","GRSM-PKnob Upper Plot",1505,">1300m",-3.14,5.89,7.9,17.17,51840,42727,2012,163
"flava",1172,483,"yellow buckeye","Leaves","95% or more","GRSM-PKnob Upper Plot",1505,">1300m",-3.14,5.89,7.9,17.17,51840,42728,2012,163
"caroliniana",823,483,"American hornbeam","Leaves","95% or more","GRSM-Tremont-Nature Trail ",405,"<800m",-0.15,9.52,12.1,23.06,45965,29315,2012,102
"rubrum",3,483,"red maple","Leaves","95% or more","GRSM-Tremont-Nature Trail ",405,"<800m",-0.15,9.52,12.1,23.06,49421,32898,2012,131
"rubrum",3,483,"red maple","Leaves","95% or more","GRSM-Tremont-Nature Trail ",405,"<800m",-0.15,9.52,12.1,23.06,48384,32899,2012,121
"caroliniana",823,483,"American hornbeam","Leaves","95% or more","GRSM-Tremont-Nature Trail ",405,"<800m",-0.15,9.52,12.1,23.06,49421,32900,2012,131
"caroliniana",823,483,"American hornbeam","Leaves","95% or more","GRSM-Tremont-Nature Trail ",405,"<800m",-0.15,9.52,12.1,23.06,49421,32901,2012,131
"caroliniana",823,483,"American hornbeam","Leaves","95% or more","GRSM-Tremont-Nature Trail ",405,"<800m",-0.15,9.52,12.1,23.06,45965,32930,2012,102
"caroliniana",823,483,"American hornbeam","Leaves","95% or more","GRSM-Tremont-Nature Trail ",405,"<800m",-0.15,9.52,12.1,23.06,49421,33104,2012,131
"caroliniana",823,483,"American hornbeam","Leaves","95% or more","GRSM-Tremont-Nature Trail ",405,"<800m",-0.15,9.52,12.1,23.06,45965,33105,2012,102
"caroliniana",823,483,"American hornbeam","Leaves","95% or more","GRSM-Tremont-Nature Trail ",405,"<800m",-0.15,9.52,12.1,23.06,49421,33107,2012,131
"caroliniana",823,483,"American hornbeam","Leaves","95% or more","GRSM-Tremont-Nature Trail ",405,"<800m",-0.15,9.52,12.1,23.06,45965,33108,2012,102
"caroliniana",823,483,"American hornbeam","Leaves","95% or more","GRSM-Tremont-Nature Trail ",405,"<800m",-0.15,9.52,12.1,23.06,45965,33110,2012,102
"rubrum",3,483,"red maple","Leaves","95% or more","GRSM-Tremont-Nature Trail ",405,"<800m",-0.15,9.52,12.1,23.06,48384,33111,2012,121
"alba",100,483,"white oak","Leaves","95% or more","GRSM-Tremont-Nature Trail ",405,"<800m",-0.15,9.52,12.1,23.06,50112,33112,2012,138
"tulipifera",82,483,"tuliptree","Leaves","95% or more","GRSM-Tremont-Nature Trail ",405,"<800m",-0.15,9.52,12.1,23.06,48384,33116,2012,121
"tulipifera",82,483,"tuliptree","Leaves","95% or more","GRSM-Tremont-Nature Trail ",405,"<800m",-0.15,9.52,12.1,23.06,48384,33117,2012,121
"caroliniana",823,483,"American hornbeam","Leaves","95% or more","GRSM-Tremont-Nature Trail ",405,"<800m",-0.15,9.52,12.1,23.06,45965,33122,2012,102
"saccharum",61,483,"sugar maple","Leaves","95% or more","GRSM-Tremont-Nature Trail ",405,"<800m",-0.15,9.52,12.1,23.06,48384,33123,2012,121
"arboreum",1187,483,"sourwood","Leaves","95% or more","GRSM-Tremont-Nature Trail ",405,"<800m",-0.15,9.52,12.1,23.06,50112,75418,2012,138
"rubrum",3,483,"red maple","Leaves","95% or more","GRSM-Sugarlands Nature Trail",440,"<800m",-0.27,9.46,12.31,23.2,51840,29438,2012,180
"rubrum",3,483,"red maple","Leaves","95% or more","GRSM-Sugarlands Nature Trail",440,"<800m",-0.27,9.46,12.31,23.2,51840,29441,2012,180
"tulipifera",82,483,"tuliptree","Leaves","95% or more","GRSM-Sugarlands Nature Trail",440,"<800m",-0.27,9.46,12.31,23.2,50803,29442,2012,143
"tulipifera",82,483,"tuliptree","Leaves","95% or more","GRSM-Sugarlands Nature Trail",440,"<800m",-0.27,9.46,12.31,23.2,51840,29443,2012,180
"caroliniana",823,483,"American hornbeam","Leaves","95% or more","GRSM-Sugarlands Nature Trail",440,"<800m",-0.27,9.46,12.31,23.2,51840,29444,2012,180
"caroliniana",823,483,"American hornbeam","Leaves","95% or more","GRSM-Sugarlands Nature Trail",440,"<800m",-0.27,9.46,12.31,23.2,50803,29446,2012,143
"lenta",98,483,"sweet birch","Leaves","95% or more","GRSM-Twin Creeks 2 ",582,"<800m",-0.64,8.97,11.64,22.35,51149,29859,2012,196
"saccharum",61,483,"sugar maple","Leaves","95% or more","GRSM-Twin Creeks 2 ",582,"<800m",-0.64,8.97,11.64,22.35,51149,29862,2012,196
"lenta",98,483,"sweet birch","Leaves","95% or more","GRSM-Twin Creeks 2 ",582,"<800m",-0.64,8.97,11.64,22.35,51149,29866,2012,196
"grandifolia",79,483,"American beech","Leaves","95% or more","GRSM-Twin Creeks 2 ",582,"<800m",-0.64,8.97,11.64,22.35,51149,29867,2012,196
"grandifolia",79,483,"American beech","Leaves","95% or more","GRSM-Twin Creeks 2 ",582,"<800m",-0.64,8.97,11.64,22.35,51149,29868,2012,196
"grandifolia",79,483,"American beech","Leaves","95% or more","GRSM-Twin Creeks 2 ",582,"<800m",-0.64,8.97,11.64,22.35,51149,29869,2012,196
"rubrum",3,483,"red maple","Leaves","95% or more","GRSM-Twin Creeks 2 ",582,"<800m",-0.64,8.97,11.64,22.35,51149,29870,2012,196
"rubrum",3,483,"red maple","Leaves","95% or more","GRSM-Twin Creeks 2 ",582,"<800m",-0.64,8.97,11.64,22.35,51149,29871,2012,196
"rubrum",3,483,"red maple","Leaves","95% or more","GRSM-Twin Creeks 2 ",582,"<800m",-0.64,8.97,11.64,22.35,51149,29872,2012,196
"tulipifera",82,483,"tuliptree","Leaves","95% or more","GRSM-Twin Creeks 2 ",582,"<800m",-0.64,8.97,11.64,22.35,51149,29873,2012,196
